iter	MultiClass
0	1.606836143
1	1.602557224
2	1.59918901
3	1.595840603
4	1.592535819
5	1.587927132
6	1.584636784
7	1.581671481
8	1.578443758
9	1.575169824
10	1.572295534
11	1.569061118
12	1.566041661
13	1.561562294
14	1.558140992
15	1.554943868
16	1.55186109
17	1.548656141
18	1.545850955
19	1.542507726
20	1.539011435
21	1.535756114
22	1.532830609
23	1.530143831
24	1.527119668
25	1.524342828
26	1.520102994
27	1.516883293
28	1.51323168
29	1.510111615
30	1.506631208
31	1.503466675
32	1.499956201
33	1.496203196
34	1.493331146
35	1.490613948
36	1.487293706
37	1.484716248
38	1.481975103
39	1.479412923
40	1.476207688
41	1.4728687
42	1.469776639
43	1.466364343
44	1.464003342
45	1.461180245
46	1.457682681
47	1.455060089
48	1.452325214
49	1.449609153
50	1.446408748
51	1.443748134
52	1.440606683
53	1.437756118
54	1.434579323
55	1.43154291
56	1.428288256
57	1.425191842
58	1.422246118
59	1.419084854
60	1.416688367
61	1.413654604
62	1.409959154
63	1.407169728
64	1.404341716
65	1.401721202
66	1.397691528
67	1.395028705
68	1.391944163
69	1.389155848
70	1.386397525
71	1.383897107
72	1.381261459
73	1.378222482
74	1.375805487
75	1.372963095
76	1.370286704
77	1.367782084
78	1.364506456
79	1.361918386
80	1.359215013
81	1.356332224
82	1.353601401
83	1.350808218
84	1.348200585
85	1.345317982
86	1.342331681
87	1.340086169
88	1.337364506
89	1.334431225
90	1.331144376
91	1.328566147
92	1.325353364
93	1.322897345
94	1.319844986
95	1.316960785
96	1.314241484
97	1.311753914
98	1.309298107
99	1.306698899
