iter	Passed	Remaining
0	190	18817
1	235	11550
2	285	9236
3	329	7910
4	373	7101
5	418	6563
6	464	6170
7	509	5860
8	552	5586
9	600	5406
10	647	5236
11	690	5067
12	739	4947
13	784	4818
14	830	4707
15	875	4596
16	921	4498
17	965	4400
18	1014	4323
19	1062	4250
20	1110	4178
21	1157	4103
22	1206	4040
23	1207	3825
24	1253	3760
25	1300	3700
26	1343	3632
27	1388	3569
28	1437	3518
29	1482	3458
30	1528	3402
31	1575	3348
32	1621	3291
33	1667	3236
34	1712	3180
35	1758	3125
36	1801	3067
37	1854	3026
38	1914	2995
39	1964	2946
40	2013	2897
41	2060	2845
42	2105	2791
43	2151	2738
44	2194	2682
45	2237	2627
46	2286	2578
47	2338	2533
48	2387	2485
49	2435	2435
50	2479	2382
51	2524	2330
52	2569	2278
53	2611	2224
54	2656	2173
55	2702	2123
56	2748	2073
57	2795	2024
58	2843	1976
59	2887	1924
60	2930	1873
61	2972	1821
62	3015	1770
63	3056	1719
64	3097	1667
65	3139	1617
66	3181	1566
67	3220	1515
68	3261	1465
69	3301	1414
70	3343	1365
71	3344	1300
72	3387	1252
73	3429	1204
74	3472	1157
75	3514	1109
76	3554	1061
77	3596	1014
78	3637	966
79	3679	919
80	3722	873
81	3763	826
82	3804	779
83	3844	732
84	3885	685
85	3925	639
86	3966	592
87	4007	546
88	4049	500
89	4092	454
90	4134	408
91	4175	363
92	4217	317
93	4257	271
94	4300	226
95	4342	180
96	4382	135
97	4425	90
98	4465	45
99	4508	0
