iter	RMSE
0	0.9941816327
1	0.9885977912
2	0.9831275868
3	0.9777085067
4	0.9723037741
5	0.9664997643
6	0.9610304559
7	0.9559156899
8	0.950832025
9	0.9456485764
10	0.9403508048
11	0.9351782773
12	0.9300404005
13	0.9250251358
14	0.9198627542
15	0.9153867087
16	0.9103173518
17	0.9057138511
18	0.9010648567
19	0.8966388507
20	0.8921291217
21	0.8877149595
22	0.8831482738
23	0.8789026302
24	0.8748045649
25	0.8703562135
26	0.8660007808
27	0.8616945736
28	0.8573755177
29	0.8532028407
30	0.8490745957
31	0.8451147007
32	0.8410977816
33	0.8370576668
34	0.8333130129
35	0.8294645089
36	0.825565695
37	0.8220663091
38	0.8186236197
39	0.8147349311
40	0.8111606874
41	0.807353522
42	0.8040474843
43	0.8006009729
44	0.797190283
45	0.7937012065
46	0.7906334075
47	0.7870641975
48	0.783644476
49	0.7801520854
50	0.777025821
51	0.7737786888
52	0.7704861791
53	0.7671911815
54	0.7641255497
55	0.7609279923
56	0.7577033458
57	0.7546719027
58	0.7516788166
59	0.7486896214
60	0.7457402985
61	0.742790923
62	0.7400113438
63	0.7371562943
64	0.7346365983
65	0.7321996305
66	0.7295142571
67	0.7267738211
68	0.7241709121
69	0.7214792066
70	0.7192636359
71	0.7166765867
72	0.7141014608
73	0.7113528987
74	0.7089019696
75	0.7064418782
76	0.7039041411
77	0.7018154881
78	0.6993493953
79	0.696987225
80	0.694700487
81	0.6922245047
82	0.6900384023
83	0.6878220565
84	0.6854386402
85	0.6831590302
86	0.6808307711
87	0.6787349689
88	0.6766508147
89	0.6745227991
90	0.6729349765
91	0.670884159
92	0.6688355868
93	0.6666831943
94	0.6648267051
95	0.6627418753
96	0.660778791
97	0.6589334472
98	0.6569210553
99	0.6551541604
100	0.6532587237
101	0.6515140463
102	0.6498111886
103	0.6477702089
104	0.6460950696
105	0.6443499078
106	0.642819594
107	0.6412351536
108	0.6397688282
109	0.638194967
110	0.6366323018
111	0.6350476053
112	0.6333754659
113	0.6316717579
114	0.630646268
115	0.6289679478
116	0.6277231683
117	0.6261810502
118	0.6245595914
119	0.622991123
120	0.6213892351
121	0.6201182753
122	0.618661111
123	0.6172421684
124	0.6157698206
125	0.6143928229
126	0.6128915951
127	0.6113172168
128	0.6099489333
129	0.6085474805
130	0.6072449371
131	0.6059273285
132	0.6046389773
133	0.6033710794
134	0.6018915487
135	0.6005631037
136	0.5993963901
137	0.598135104
138	0.5969245168
139	0.5957049469
140	0.5945834813
141	0.5931357879
142	0.5917994608
143	0.5905509703
144	0.5892872676
145	0.5882743138
146	0.5870679944
147	0.5859503985
148	0.5851159366
149	0.5841463094
150	0.5830398992
151	0.582070995
152	0.5809033177
153	0.5798627667
154	0.5789071157
155	0.5778051857
156	0.5766615627
157	0.575754597
158	0.5746329596
159	0.5735228977
160	0.5726384555
161	0.5716000238
162	0.5705534808
163	0.5696801797
164	0.568632573
165	0.5677034366
166	0.5666016075
167	0.5656617047
168	0.5646404148
169	0.5637009855
170	0.562710229
171	0.5618794948
172	0.5610440602
173	0.5600808015
174	0.5590926374
175	0.5581065363
176	0.5573171524
177	0.5566657308
178	0.5558098777
179	0.5549654317
180	0.5542633256
181	0.5534127543
182	0.5530253295
183	0.5521904497
184	0.5513278735
185	0.5504069052
186	0.5496834847
187	0.5488384226
188	0.5482469875
189	0.5475914763
190	0.5471126688
191	0.5464140928
192	0.5456060464
193	0.5448963108
194	0.5442692487
195	0.5435653039
196	0.5428255407
197	0.5421022196
198	0.5414265861
199	0.5408745105
200	0.540149487
201	0.5396186341
202	0.5390938986
203	0.5384791088
204	0.5379765539
205	0.5371495984
206	0.5364466051
207	0.5356719629
208	0.5351813815
209	0.5344659286
210	0.5337601872
211	0.5331099156
212	0.5325161164
213	0.5319171043
214	0.5313687088
215	0.5305834317
216	0.5298470919
217	0.5290577493
218	0.5283384475
219	0.527908579
220	0.5271686971
221	0.5268394369
222	0.5263443225
223	0.525715453
224	0.5250486012
225	0.5245905066
226	0.5240451796
227	0.5234841563
228	0.5228491812
229	0.5221309471
230	0.5215528561
231	0.520924171
232	0.5205358456
233	0.5201614645
234	0.5198861496
235	0.5193908806
236	0.5187918862
237	0.5182290443
238	0.5177470874
239	0.5172230522
240	0.5167501588
241	0.5162900176
242	0.5156998506
243	0.5152414066
244	0.5147160198
245	0.5140414143
246	0.5136605355
247	0.5132860686
248	0.5128863637
249	0.5125498376
250	0.5121457195
251	0.5116070224
252	0.5112606522
253	0.5108517929
254	0.5104905459
255	0.5102884458
256	0.5096098411
257	0.5090750699
258	0.5087130519
259	0.5079944861
260	0.5076369405
261	0.5072585496
262	0.5067934213
263	0.506341643
264	0.5060337324
265	0.5057044988
266	0.505268476
267	0.5048499996
268	0.5044773473
269	0.5039394478
270	0.5036224663
271	0.5032334003
272	0.5028911008
273	0.5026117353
274	0.5020871329
275	0.5015992803
276	0.5011136511
277	0.5007466267
278	0.5000575066
279	0.4996918651
280	0.4993904019
281	0.4990255086
282	0.4986789146
283	0.4983171238
284	0.498005765
285	0.4977160495
286	0.49738487
287	0.4969722057
288	0.4966678339
289	0.4964009854
290	0.4961758394
291	0.4958348886
292	0.4954072287
293	0.4950036909
294	0.4944664142
295	0.4941973457
296	0.4938803226
297	0.4935102707
298	0.4932695553
299	0.4929869798
300	0.4925429601
301	0.4922646941
302	0.4920062535
303	0.4916240575
304	0.4913378817
305	0.4910850377
306	0.4906501087
307	0.4905020023
308	0.4900749748
309	0.4897683115
310	0.4895332931
311	0.4891523642
312	0.4887433113
313	0.4884205352
314	0.4879756879
315	0.4875244846
316	0.4874253685
317	0.487235524
318	0.4869568328
319	0.486704479
320	0.4862932909
321	0.4860352074
322	0.4857795345
323	0.485584794
324	0.4853796759
325	0.4850095283
326	0.4848278911
327	0.4846320577
328	0.484307965
329	0.4839149468
330	0.4836350391
331	0.4832379526
332	0.482991839
333	0.482777795
334	0.4825396881
335	0.4822018689
336	0.4819533423
337	0.4817175944
338	0.481635249
339	0.481304972
340	0.481168622
341	0.4809604569
342	0.4806420057
343	0.4804433756
344	0.4800387289
345	0.4797520783
346	0.4796112747
347	0.4795085477
348	0.4792793125
349	0.4789002355
350	0.4787071394
351	0.4784481355
352	0.4782621028
353	0.4778360682
354	0.4777457308
355	0.4776878147
356	0.4774424165
357	0.4772329314
358	0.4769696512
359	0.4768866299
360	0.4766585334
361	0.4765649376
362	0.4763842751
