iter	Passed	Remaining
0	160	240385
1	170	127964
2	183	91505
3	192	72037
4	197	59092
5	206	51476
6	215	46016
7	225	42021
8	234	38895
9	236	35246
10	245	33214
11	247	30685
12	256	29310
13	266	28234
14	276	27332
15	285	26515
16	295	25773
17	306	25209
18	316	24684
19	326	24141
20	336	23674
21	345	23184
22	355	22801
23	364	22415
24	374	22098
25	385	21850
26	390	21308
27	392	20656
28	402	20398
29	411	20187
30	417	19774
31	427	19610
32	432	19243
33	434	18754
34	439	18405
35	449	18265
36	458	18118
37	468	18028
38	478	17940
39	488	17821
40	490	17470
41	500	17362
42	501	16997
43	511	16910
44	514	16631
45	524	16588
46	536	16571
47	546	16544
48	558	16543
49	570	16531
50	580	16497
51	584	16273
52	594	16233
53	605	16222
54	615	16175
55	626	16143
56	635	16093
57	646	16065
58	656	16037
59	666	15999
60	676	15963
61	686	15922
62	696	15878
63	706	15844
64	717	15832
65	718	15618
66	728	15572
67	738	15554
68	741	15370
69	750	15336
70	752	15137
71	761	15095
72	771	15073
73	780	15049
74	791	15034
75	801	15026
76	812	15009
77	822	14990
78	832	14967
79	841	14936
80	851	14914
81	861	14889
82	872	14898
83	882	14875
84	892	14850
85	902	14837
86	912	14827
87	922	14804
88	932	14781
89	941	14757
90	942	14599
91	952	14571
92	961	14549
93	971	14527
94	981	14517
95	991	14503
96	1001	14492
97	1011	14474
98	1021	14462
99	1030	14433
100	1040	14417
101	1051	14407
102	1060	14381
103	1070	14365
104	1080	14352
105	1083	14246
106	1088	14168
107	1097	14151
108	1099	14029
109	1108	14012
110	1112	13919
111	1115	13822
112	1125	13808
113	1135	13800
114	1136	13684
115	1145	13664
116	1146	13552
117	1157	13551
118	1166	13539
119	1176	13526
120	1185	13509
121	1195	13497
122	1204	13487
123	1213	13470
124	1218	13407
125	1228	13393
126	1237	13383
127	1248	13379
128	1258	13373
129	1267	13360
130	1277	13347
131	1287	13338
132	1296	13326
133	1306	13317
134	1316	13306
135	1326	13299
136	1336	13292
137	1346	13291
138	1357	13294
139	1367	13287
140	1377	13277
141	1388	13274
142	1398	13273
143	1408	13267
144	1418	13259
145	1429	13254
146	1438	13242
147	1448	13234
148	1450	13155
149	1452	13073
150	1461	13060
151	1464	12990
152	1474	12977
153	1483	12970
154	1494	12965
155	1505	12973
156	1516	12975
157	1527	12977
158	1538	12978
159	1549	12976
160	1560	12974
161	1570	12967
162	1575	12921
163	1584	12911
164	1596	12913
165	1601	12870
166	1610	12858
167	1620	12848
168	1629	12836
169	1639	12824
170	1649	12816
171	1658	12806
172	1668	12795
173	1677	12780
174	1687	12773
175	1696	12762
176	1706	12753
177	1709	12698
178	1718	12683
179	1728	12676
